Date,Description,Amount
2024-01-05,Netflix Subscription,-15.99
2024-01-07,Starbucks Coffee,-5.75
2024-01-10,Amazon Purchase,-45.23
2024-01-12,Spotify Premium,-9.99
2024-01-15,DoorDash Delivery,-32.50
2024-01-18,Target Shopping,-67.89
2024-01-20,Uber Ride,-18.45
2024-01-22,Chipotle Mexican Grill,-12.85
2024-01-25,Adobe Creative Cloud,-54.99
2024-01-28,CVS Pharmacy,-23.45
2024-02-05,Netflix Subscription,-15.99
2024-02-08,McDonald's,-9.25
2024-02-10,Amazon Prime,-14.99
2024-02-12,Spotify Premium,-9.99
2024-02-15,UberEats Delivery,-28.75
2024-02-18,Walmart Groceries,-112.34
2024-02-20,Lyft Ride,-22.60
2024-02-22,Pizza Hut,-24.50
2024-02-25,Adobe Creative Cloud,-54.99
2024-02-28,Walgreens,-15.80
2024-03-05,Netflix Subscription,-15.99
2024-03-08,Coffee Shop,-6.50
2024-03-10,Amazon Shopping,-89.99
2024-03-12,Spotify Premium,-9.99
2024-03-15,GrubHub Delivery,-35.20
2024-03-18,Target Store,-43.67
2024-03-20,Uber Ride,-15.30
2024-03-22,Taco Bell,-11.45
2024-03-25,Adobe Creative Cloud,-54.99
2024-03-28,CVS Pharmacy,-19.25
